lipid,logFC.cells,logCPM.cells,LR.cells,PValue.cells,FDR.cells,Transition.cells,type.cells,C1.cells,C2.cells,C3.cells,C4.cells,C5.cells,R1.cells,R2.cells,R3.cells,R4.cells,R5.cells,blank.cells,logFC.media,logCPM.media,LR.media,PValue.media,FDR.media,Transition.media,type.media,C1.media,C2.media,C3.media,C4.media,C5.media,R1.media,R2.media,R3.media,R4.media,R5.media,blank.media,solvent_blank_media
4_Glutamine,-0.5728886600562241,10.090236536494174,23.653978416755905,1.153072819237223e-6,1.6535064227861778e-4,147.1 -> 130,POS2,4026.9002990719,2800.5202102656,3871.5002746589,5816.7804183953,7142.8005218435,3220.2402191154,2661.5401802057,2997.420227051,2788.2202072143,4273.6003303533,4218.4803123477,0.4211056976568621,10.556170860972195,13.575093333364698,2.2920659139322478e-4,0.006573645041157687,147.1 -> 130,POS2,4643.5803298949,4705.0403518686,6029.1004638683,5950.2004356394,9780.4806442214,8543.0405235323,6399.1405296316,6787.9804649389,9570.7006454463,10541.5007286061,6760.1004295364,1821.0201110838
1_L-Isoleucine; 1_L-Leucine,-0.4686074046453388,16.37286568686222,16.106876592275796,5.986626160749765e-5,0.004769345508063979,132.1 -> 86.1,POS2,251381.33752464,267146.73754881,333948.84631329,406875.86755372,693279.35156241,268236.296997112,165593.810668909,274371.3378906,344392.2464601,362480.34533699,48936.6633453388,0.5898526477453296,16.67304066504624,26.77791529912415,2.2823078758390028e-7,2.0455184337207062e-5,132.1 -> 86.1,POS2,381179.32482928,290254.238342439,356986.16113281,421378.46960465,519154.05688474,697837.10498043,497650.59350589,385742.46520995,758733.55126989,637128.24731465,586669.78442354,15208.0009536755
2_L-Isoleucine,-0.44815035865035313,13.927780671675821,14.724706845648868,1.2440532189541417e-4,0.008919861579901196,132.1 -> 69.1,POS2,47429.723571792,53591.783752439,62009.903976452,71141.025878905,121130.56848145,52534.123382578,30302.3824768064,52771.043914788,63595.564758305,61954.744415289,10877.0407791083,0.6052240239597377,14.259865624424124,28.16535848112295,1.1138031232900487e-7,1.4129830195583389e-5,132.1 -> 69.1,POS2,74340.565795918,56559.983856179,62318.184478747,72507.324645989,101888.185546933,130546.69030759,88210.905578618,76854.205841111,146962.71032719,119443.327636752,109142.028259234,3984.1202850345
2_4-Hydroxy-L-proline,-0.40965639320762687,14.947097412056117,12.31812414540525,4.48581279156721e-4,0.02297376979681207,132.1 -> 86,POS2,93702.94653312,101617.787536595,126312.208556998,143035.17138663,248357.75732421,104133.72705084,61755.80410765,107125.4663085,133170.40844727,132110.70813003,20385.061347962,0.6323612997745017,15.261909030715971,30.738343780384465,2.952722186719875e-8,7.057006026260502e-6,132.1 -> 86,POS2,140226.948120125,108047.868957445,127585.16955577,153654.31323246,201434.29174811,259642.65649398,189515.81225583,153849.58959966,293054.92041024,242169.69775387,211317.05371091,6133.3803939836
1_Valine,-0.40712641882711526,15.235816269453066,12.168024875078508,4.861575914067217e-4,0.023238332869241294,118.1 -> 72.1,POS2,110337.76770027,125749.08923334,148082.44885254,179798.85314942,305131.46069342,123666.64892574,76283.70458986,132938.52893063,155216.72949223,169144.39208978,27113.761932355,0.6519287826657805,15.526372011332992,32.655932271453665,1.1000316180112266e-8,3.943613350570247e-6,118.1 -> 72.1,POS2,170907.07128908,127510.74969477,155945.57116696,183294.212844792,240145.39672859,318408.12841809,232934.41699215,180391.99218742,358430.90283196,295419.35888678,235538.57690441,10328.5806961059
2_Valine,-0.3999369515959623,14.66448272680207,11.741104710203217,6.113472543147516e-4,0.027395998833979807,118.1 -> 55.1,POS2,74948.405944815,84248.90710454,102674.047119089,116675.22778318,203809.25537117,83417.305542017,47483.963836664,91607.406341516,106200.48840324,113928.62683117,20463.801727281,0.5734087980766408,14.996519783879055,25.308021578169715,4.886722700950029e-7,3.2665910020860005e-5,118.1 -> 55.1,POS2,111147.60791014,97774.287414581,113998.309021039,129877.048168131,175595.75292969,217868.13354495,159578.96960455,123089.987976224,238516.3562011,200179.37451177,163061.73095697,7147.780548096
4_Asparagine,-0.39693484408052726,11.335339747700553,11.503476451567167,6.946614486929367e-4,0.029298368159578567,133.1 -> 87.1,POS2,8533.7006149304,8988.4206237824,9913.7807769769,11870.0210037215,18587.121208189,7319.3605079583,5865.5804100027,8249.760616302,11917.9007339484,10748.4206924365,2009.240139006,0.5467103139950487,11.602494773577602,22.927572414540386,1.6822147067397051e-6,8.615342462374062e-5,133.1 -> 87.1,POS2,11333.1608123675,8585.8006095856,11437.740806575,11052.1406364446,17370.921173103,21619.081390371,13504.1409950081,14244.8009719766,20849.781631474,17508.7211914,17109.3611564603,1188.7200737
10_Hypoxanthine,0.3695626269100494,10.869953118751308,9.952924109918833,0.0016059411109676529,0.06060314613493722,137 -> 94,POS1,5802.3404464708,6314.120437622,6143.620353699,7671.8804969799,6174.4604377738,4993.260288237,4980.5803413399,8998.4606285098,13055.520950311,9603.0206947324,1619.960124969,0.39957587352674295,9.393022891975567,12.102365025477368,5.035790929506879e-4,0.01337282257946827,137 -> 94,POS1,2595.1801719657,2518.5401687631,2929.440208434,3080.1802253725,3360.2602195733,3868.2002792342,3646.6002578721,3740.5202751145,4350.0803184512,3586.9202117923,1866.6001434335,1566.4001235963
5_L-Phenylalanine,-0.3439278057841719,14.79967881271793,8.690449429572183,0.0031988173915723597,0.0997196552068427,166.1 -> 120.1,POS2,78671.004364009,84196.426086459,114540.406799281,135327.48974608,210366.09411627,88995.04675298,68009.944641143,91582.328002952,123333.288208099,120373.847351029,32672.322540289,0.513572488800475,15.012982052009827,20.327960914761253,6.524020408095475e-6,2.7516015485908567e-4,166.1 -> 120.1,POS2,115990.128845188,100811.727539035,130179.97045886,138507.751205436,165440.57324223,203187.69567866,164354.1901856,138224.010375916,220447.15527351,207239.9364015,165891.47058108,5968.6204681383
