"","Majority.protein.IDs","logFC","PValue","FDR","Fold_change","average_C_lfq","average_R_lfq","MS_C_average","MS_R_average","Gene.names"
"1","D3ZF26",4.001286762,0.021465946,0.32306848,16,14275400,228840000,3.2,24.2,"Tnks1bp1"
"2","P07895",3.684447282,0.031619027,0.462943799,12.9,212886000,2727820000,12.6,74.6,"Sod2"
"3","B0BN65",3.648251281,0.03303601,0.473399001,12.5,22759600,284434000,3.2,24.4,"Fam49a"
"4","A0A0G2JUA5;A0A0G2JU96",1.157565499,0.458399877,0.999921583,2.23,225212000,501876000,13.6,29,NA
"5","A0A140TAA4;Q9QZA2",1.12287759,0.471645909,0.999921583,2.18,69282200,150698000,8,15.8,"Pdcd6ip"
"6","A0A140TAE0",1.917732449,0.229063108,0.999921583,3.78,340226000,1.283e+09,20.4,51,NA
"7","A0A3Q9WS43;A0A0G2KB92;A0A1W2Q6Q2",2.528812308,0.120885168,0.999921583,5.77,39867200,229512000,4.8,21.2,NA
"8","B4F7E8",1.157247151,0.458520354,0.999921583,2.23,69257400,154242000,8.2,14.8,"Fam129b"
"9","D3ZRN3",2.239906057,0.16480023,0.999921583,4.72,47554200,225298000,5.6,16.2,"Actbl2"
"10","D4A0M2",1.349825048,0.389378584,0.999921583,2.55,36469600,92744000,7.6,12.6,"Nxn"
"11","D4AD82;P81128",1.572030265,0.319005628,0.999921583,2.97,36273800,107495000,4,12.2,"Arhgap35"
"12","G3V6C4;O70199",1.326078395,0.397496335,0.999921583,2.51,21890000,54687800,3.8,10.4,"Ugdh"
"13","G3V7K3;A0A0G2K9I6;Q9JL97;P13635",2.589410239,0.113100255,0.999921583,6.02,417826000,2510380000,29.6,97.8,"Cp"
"14","O70509;D3ZGF1;F1LSA1;O08779;P26051-2;P26051",2.289612499,0.156388471,0.999921583,4.89,114356600,558164000,4.8,18,"Cd44"
"15","O88656",1.235765079,0.429421683,0.999921583,2.36,132724000,312028000,14.4,21,"Arpc1b"
"16","P26376;Q9R176",2.81011233,0.088384356,0.999921583,7.01,57271600,400738000,6,25.6,"ifitm3;Ifitm3"
"17","P30835;Q6P783",1.118501926,0.473333755,0.999921583,2.17,187406000,405920000,14.4,24.8,"Pfkl"
"18","P34901",1.337104539,0.393712743,0.999921583,2.53,233060000,587746000,11.8,17.4,"Sdc4"
"19","P52631",1.431248089,0.362421018,0.999921583,2.7,461928000,1243800000,28.4,49.6,"Stat3"
"20","P53987",1.448516581,0.356878256,0.999921583,2.73,68574600,186880000,3.8,11.2,"Slc16a1"
"21","Q63356;A0A0G2K9E8",2.181274091,0.175214135,0.999921583,4.54,32535400,147294000,4.2,16.6,"Myo1e"
"22","Q6GT74;P26453-2;P26453",1.185107588,0.448053425,0.999921583,2.27,159582000,362142000,10.8,18.8,"Bsg"
"23","Q6P7S6;G3V836;P05371;Q9ERD1;O35510;A0A0G2KB42",2.222154837,0.167896207,0.999921583,4.67,36163200,167992000,3.6,16.2,"Clu"
"24","Q6P9V7;Q63797",1.14044473,0.464907797,0.999921583,2.2,165066000,362912000,13.8,24.2,"Psme1"
